sample,files
A3_1,48
A3_2,48
A3_3,48
A3_4,48
A3_5,48
A3_6,48
A3_7,48
A3_8,48
A6_1,48
A6_2,48
A6_3,48
A6_4,48
A6_5,48
A6_6,48
A6_7,48
A6_8,48
B2_1,12
B2_2,28
B2_3,28
B2_4,28
B2_5,28
B2_6,28
B2_7,28
B2_8,28
B5_1,36
B5_2,36
B5_3,36
B5_4,36
B5_5,36
B5_6,36
B5_7,36
B5_8,36
B8_1,36
B8_2,36
B8_3,36
B8_4,36
B8_5,36
B8_6,36
B8_7,36
B8_8,36
C1_1,52
C1_2,52
C1_3,52
C1_4,52
C1_5,52
C1_6,52
C1_7,52
C1_8,52
C4_1,52
C4_2,52
C4_3,52
C4_4,52
C4_5,52
C4_6,52
C4_7,52
C4_8,52
C7_1,52
C7_2,52
C7_3,52
C7_4,52
C7_5,52
C7_6,52
C7_7,52
C7_8,52
